Velocity,AOA,Inaccuracy,d2Yl,y_TE,a_TE,CL,CD
61,6,-1,0.1,0.05,5,0.35629476,0.011482931
61,8,-1,0.1,0.05,5,0.600214323,0.012540286
61,-4,-1,0.1,0.05,-5,-0.694163654,0.015995337
61,-2,-1,0.1,0.05,-5,-0.465803368,0.013704637
61,0,-1,0.1,0.05,-5,-0.220023932,0.011697405
61,2,-1,0.1,0.05,-5,0.031741713,0.010966414
61,4,-1,0.1,0.05,-5,0.291305755,0.010848991
61,6,-1,0.1,0.05,-5,0.540257661,0.012020539
61,8,-1,0.1,0.05,-5,0.779725184,0.013530725
56,-4,-1,0.1,0.05,-5,-0.692257482,0.016240486
56,-2,-1,0.1,0.05,-5,-0.465740561,0.013896966
56,0,-1,0.1,0.05,-5,-0.221441111,0.011861648
56,2,-1,0.1,0.05,-5,0.02984221,0.011129017
56,4,-1,0.1,0.05,-5,0.288836012,0.011016692
56,6,-1,0.1,0.05,-5,0.537056346,0.012179566
56,8,-1,0.1,0.05,-5,0.775251015,0.013704501
61,-3,-1,0.1,-0.05,-5,0.509189994,0.011600328
61,-1,-1,0.1,-0.05,-5,0.758931704,0.012793796
61,1,-1,0.1,-0.05,-5,1.009634747,0.014120219
61,3,-1,0.1,-0.05,-5,1.193642468,0.017284005
61,5,-1,0.1,-0.05,-5,1.389752122,0.021259612
61,7,-1,0.1,-0.05,-5,1.524393918,0.027894883
61,9,-1,0.1,-0.05,-5,1.609738985,0.037735728
56,-3,-1,0.1,-0.05,-5,0.507958074,0.011789193
56,-1,-1,0.1,-0.05,-5,0.755717904,0.01302445
56,1,-1,0.1,-0.05,-5,1.005600585,0.01437701
56,3,-1,0.1,-0.05,-5,1.185060234,0.017630903
56,5,-1,0.1,-0.05,-5,1.377374283,0.021793142
56,7,-1,0.1,-0.05,-5,1.510202109,0.028590438
56,9,-1,0.1,-0.05,-5,1.59464833,0.038691276
61,-4,-1,-0.1,0.05,5,-0.909348789,0.016408301
61,-2,-1,-0.1,0.05,5,-0.673611125,0.014415314
61,0,-1,-0.1,0.05,5,-0.442765615,0.012469169
61,2,-1,-0.1,0.05,5,-0.19102912,0.011266254
61,4,-1,-0.1,0.05,5,0.055439594,0.010965039
61,6,-1,-0.1,0.05,5,0.303246381,0.011568112
61,8,-1,-0.1,0.05,5,0.546238533,0.012893849
56,-3,-1,-0.1,0.05,5,-0.783902098,0.0163157
56,-1,-1,-0.1,0.05,5,-0.546209118,0.01336686
56,1,-1,-0.1,0.05,5,-0.316375233,0.011825559
56,3,-1,-0.1,0.05,5,-0.068562822,0.011142979
56,5,-1,-0.1,0.05,5,0.181380171,0.011285867
56,7,-1,-0.1,0.05,5,0.422770914,0.012147695
56,9,-1,-0.1,0.05,5,0.666644781,0.013777888
62,-4,-1,-0.1,0.05,-5,-0.910449591,0.016364193
62,-2,-1,-0.1,0.05,-5,-0.674262419,0.014381902
62,0,-1,-0.1,0.05,-5,-0.443172632,0.012437332
62,2,-1,-0.1,0.05,-5,-0.191334693,0.011237341
62,4,-1,-0.1,0.05,-5,0.055323592,0.010932431
62,6,-1,-0.1,0.05,-5,0.303303273,0.01153552
62,8,-1,-0.1,0.05,-5,0.546506388,0.012858841
57,-3,-1,-0.1,0.05,-5,-0.784793744,0.016271682
57,-1,-1,-0.1,0.05,-5,-0.546891948,0.013332066
57,1,-1,-0.1,0.05,-5,-0.316779563,0.011793483
57,3,-1,-0.1,0.05,-5,-0.068760475,0.011108654
57,5,-1,-0.1,0.05,-5,0.181252801,0.011250922
57,7,-1,-0.1,0.05,-5,0.422708185,0.012116795
57,9,-1,-0.1,0.05,-5,0.666960691,0.013733662
60,-4,-1,0.1,0.05,-10,-0.618886694,0.015798916
60,-2,-1,0.1,0.05,-10,-0.379817085,0.012699144
60,0,-1,0.1,0.05,-10,-0.12922964,0.011700796
60,2,-1,0.1,0.05,-10,0.125837801,0.010980284
60,4,-1,0.1,0.05,-10,0.379285314,0.011204222
60,6,-1,0.1,0.05,-10,0.631673233,0.01200105
60,8,-1,0.1,0.05,-10,0.860589499,0.013594644
60,-3,-1,0.1,-0.05,-10,0.59551803,0.01196681
60,-1,-1,0.1,-0.05,-10,0.841477789,0.012910471
60,1,-1,0.1,-0.05,-10,1.081103088,0.014821793
60,3,-1,0.1,-0.05,-10,1.281195393,0.017659267
60,5,-1,0.1,-0.05,-10,1.44812156,0.021530281
60,7,-1,0.1,-0.05,-10,1.592171123,0.028464923
60,9,-1,0.1,-0.05,-10,1.671298183,0.03865477
55,-4,-1,-0.1,0.05,-10,-0.648179287,0.015569527
55,-2,-1,-0.1,0.05,-10,-0.425496278,0.013437687
55,0,-1,-0.1,0.05,-10,-0.179826807,0.012052877
